biotype,assignation_round
IG_C_gene,long
IG_C_pseudogene,long
IG_D_gene,long
IG_J_gene,long
IG_J_pseudogene,long
IG_pseudogene,long
IG_V_gene,long
IG_V_pseudogene,long
lncRNA,long
misc_RNA,small
Mt_rRNA,small
Mt_tRNA,small
piRNA,small
pre_miRNA,small
processed_pseudogene,long
protein_coding,long
pseudogene,long
ribozyme,small
rRNA,small
rRNA_pseudogene,small
scaRNA,small
scRNA,small
snoRNA,small
snRNA,small
sRNA,small
TR_C_gene,long
TR_D_gene,long
TR_J_gene,long
TR_J_pseudogene,long
TR_V_gene,long
TR_V_pseudogene,long
transcribed_processed_pseudogene,long
transcribed_unitary_pseudogene,long
transcribed_unprocessed_pseudogene,long
translated_processed_pseudogene,long
translated_unprocessed_pseudogene,long
tRNA,small
unitary_pseudogene,long
unprocessed_pseudogene,long
vault_RNA,small
